course_link,course_name,course_number,course_organization,course_price,course_status
//ke.qq.com/course/387931#term_id=100462528,【NEXT学院】Python从入门到实战·基础篇,03人购买,腾讯课堂NEXT学院,¥677.22,共33节
,,5204人购买,马哥教育,¥4362.22,随到随学
//ke.qq.com/course/466168#term_id=100462528,Python全栈开发/爬虫/人工智能/机器学习/数据分析【七期就业班】,88人购买,扣丁学堂,¥4362.22,共55节
,,59人购买,马哥教育,¥9162.22,课程2
//ke.qq.com/course/412380#term_id=100462528,Python全栈开发/爬虫/人工智能/机器学习/数据分析【千锋教育】,523人购买,扣丁学堂,¥4362.22,随到随学
//ke.qq.com/course/384790#term_id=100458711,【NEXT学院】Python从入门到实战·完整篇,89人购买,腾讯课堂NEXT学院,¥3477.22,共81节
,,34人购买,马哥教育,¥36.22,共12节
//ke.qq.com/course/459342#term_id=100458711,【NEXT特训班】Python训练营,564人购买,腾讯课堂NEXT学院,¥77.22,共10节
,,65人购买,马哥教育,¥6622.22,课程4
//ke.qq.com/course/324618#term_id=100458711,Python全栈开发/爬虫/人工智能/机器学习/数据分析【千锋四期】,523人购买,扣丁学堂,¥1622.22,共75节
//ke.qq.com/course/465147#term_id=100458711,马哥教育Python全栈+爬虫+数据分析+AI小白入门训练营,6338人购买,马哥教育,¥076.22,共9节
,,2人购买,优特学院,¥5977.22,课程2
,,53人购买,马哥教育,¥1362.22,课程4
,,55人购买,撩课教育,¥322.22,课程2
//ke.qq.com/course/378615#term_id=100458711,专为小白打造的Python七天速成集训营,8019人购买,马哥教育,¥076.22,共7节
,,858人购买,动脑学院,¥1862.22,进度：36/36节
//ke.qq.com/course/278938#term_id=100458711,1元购Python深度突击班400元优惠券,31人购买,博为峰网校在线教育,¥5.22,共1节
//ke.qq.com/course/255929#term_id=100458711,python人工智能全栈开发一期【千锋教育】,533人购买,扣丁学堂,¥9622.22,进度：88/88节
//ke.qq.com/course/379701#term_id=100458711,Python爬虫+人工智能实战班,590人购买,,¥1077.22,进度：37/37节
//ke.qq.com/course/389547#term_id=100464505,【NEXT学院】Python从入门到实战·语音识别之热词唤醒,5612人购买,腾讯课堂NEXT学院,¥2.23,共6节
//ke.qq.com/course/383007#term_id=100464505,2019最新Python精品录播-Python基础视频教程,5865人购买,扣丁学堂,¥77.22,共16节
,,5841人购买,学神IT教育,¥86.22,共14节
//ke.qq.com/course/455454#term_id=100464505,Python高薪VIP体验班【六星教育】,43人购买,,¥577.22,共7节
//ke.qq.com/course/455457#term_id=100464505,Python高薪爬虫体验班【六星教育】,525人购买,,¥577.22,共6节
course_link,course_name,course_number,course_organization,course_price,course_status
//ke.qq.com/course/387931#term_id=100462528,【NEXT学院】Python从入门到实战·基础篇,03人购买,腾讯课堂NEXT学院,¥677.22,共33节
,,5204人购买,马哥教育,¥4362.22,随到随学
//ke.qq.com/course/466168#term_id=100462528,Python全栈开发/爬虫/人工智能/机器学习/数据分析【七期就业班】,88人购买,扣丁学堂,¥4362.22,共55节
,,59人购买,马哥教育,¥9162.22,课程2
//ke.qq.com/course/412380#term_id=100462528,Python全栈开发/爬虫/人工智能/机器学习/数据分析【千锋教育】,523人购买,扣丁学堂,¥4362.22,随到随学
//ke.qq.com/course/384790#term_id=100458711,【NEXT学院】Python从入门到实战·完整篇,89人购买,腾讯课堂NEXT学院,¥3477.22,共81节
,,34人购买,马哥教育,¥36.22,共12节
//ke.qq.com/course/459342#term_id=100458711,【NEXT特训班】Python训练营,564人购买,腾讯课堂NEXT学院,¥77.22,共10节
