agency,custom,price,task,title
博为峰网校在线教育,拼团,¥2.23,共4节,【博为峰】软件测试国际权威认证ISTQB2018版考纲培训VIP体验
毕老师·消防全攻略,737人购买,¥5.22,共5节,【毕老师·消防全攻略】2020消防工程师入门课
博为峰网校在线教育,506人最近报名,免费,共5节,【博为峰】软件测试国际权威认证ISTQB2018版考纲培训免费咨询
熊梅军,15人最近报名,免费,共4节,逆寒技术作图—试听课
六星教育,643人最近报名,免费,共32节,Web前端开发(HTML/CSS/javaScript/Vue/React/Node)
Rhino3D（犀牛）原厂中国/Shaper3d,93人最近报名,免费,共4节,Rhino3D（犀牛）工具讲解与应用课程合集免费章节
"卓尔谟教育,认证",109人购买,¥8322.22,随到随学,Rhino 7犀牛 / KeyShot 9 产品设计建模渲染进阶班【卓尔谟教育】
齐论跨境学院,5705人最近报名,免费,共4节,"【直播】亚马逊3大引爆流量技巧,不懂英语也能爆单【齐论】"
"六星云课堂,认证",0093人最近报名,免费,共35节,Python零基础快速就业到高级工程师/网络爬虫/人工智能/商业项目
云龙课堂,536人最近报名,免费,共19节,3Dmax多边形建模系列
"渡一教育,认证",3953人最近报名,免费,共16节,Java零基础入门到精通--上[历史 运算符 语法结构 数组 面向对象]
"涵品教育,认证",386人最近报名,免费,共12节,PS淘宝美工PS教程 抠图/产品精修/主图/海报/详情页 就业实战答疑
学神IT教育,31人购买,¥1462.22,进度：1/25节,json-Python自动化测试-项目实战-/测试开发/接口/性能【学神IT】
e学苑在线教育,37人最近报名,免费,共10节,【直播】外研版初中英语七年级上册 同步教材精讲精练 可试听
"涵品教育,认证",549人最近报名,免费,共1节,PS/PS教程/摄影后期/人像精修/液化/上妆/调色/0基础到精通
河北翻译培训学院,554人最近报名,免费,共15节,人教版初中英语七年级上册知识点讲解课程
"六星教育,认证",5781人最近报名,免费,进度：13/15节,PHP7进阶到架构-Laravel/Redis/Swoole/高并发分布式【六星教育】
"太阁IT认证中心,认证",60人最近报名,免费,进度：7/7节,CCNA安全思科网络工程师
"卓尔谟教育,认证",320人购买,¥8322.22,随到随学,工业产品设计手绘基础马克笔表现实战班【卓尔谟教育】
马哥教育,189人最近报名,免费,共7节,python基础教程-马哥7天共学Python入门基础课程
e学苑在线教育,83人最近报名,免费,共4节,【直播】外研版初中英语七年级上册 知识点梳理语法词汇精讲
抵岸教育,2人购买,¥5622.22,课程4,20省考冲刺+申论精讲
蜜蜂优课,63人最近报名,免费,共1节,【坤哥物理】初升高如何学好高中物理？听坤哥这样说
宋超,5234人最近报名,免费,共13节,高考数学那些神奇解题大招大汇总一
小六子网络美术学院,527人最近报名,免费,共10节,【PS】小白零基础入门教程
"图灵学院,认证",67人最近报名,免费,共4节,spring aop底层实现asm剖析【图灵学院】
"原画人在线学院,认证",52人购买,¥9172.22,进度：2/5节,原画人欧美卡通角色设计1期【铁匠】
北京华尔思网络实验室,41人最近报名,免费,进度：16/17节,华为认证HCIA初级网络工程师（蔡老师带你从零开始学网络工程师）
郑臣亮,5818人最近报名,免费,共9节,零基础数据分析与挖掘——Python实战课程
蜂鸟摄影微课堂,2人购买,¥0777.22,课程6,职业摄影师实战就业班
Jacky,582人最近报名,免费,共8节,2020一级建造师项目管理系统精讲（包括2019一建管理真题）
张老师,69人最近报名,免费,共3节,手把手教财务人员“写简历+应对面试”系统课程
"软谋教育,认证",9872人购买,¥9077.22,随到随学,.NET高级开发VIP班
依依老师,65人最近报名,免费,共17节,2020高考化学难点突破
上元语言网校,500人最近报名,免费,共3节,【直播】高中应试英语 名师精讲 快速提分【上元网校】
魔贝课凡,125人购买,¥76.22,共10节,Amazon亚马逊排名要素初窥、爆款打造技巧【卖家揭秘】
鸿图学院,694人最近报名,免费,共2节,【鸿图学院】Creo/Proe产品设计【曲面/结构/钣金/仿真】免费讲解
"大娃火焱社,认证",105人最近报名,免费,共7节,【火焱社直播】淘宝数据化运营解析手淘首页、免费流量5天破千
"原画人在线学院,认证",193人购买,¥0472.22,随到随学,原画人绘画进阶12期 【玉梨子，重渡】
云艺帆教育,72人最近报名,免费,共14节,定制家具3DMAX室内设计整装建模效果图CAD全屋板式衣柜橱柜护墙
上元语言网校,388人最近报名,免费,共2节,国内考试公共英语三级 PETS3BEC 自考 成人高考一网打尽
"云艺帆教育,认证",505人购买,¥022.22,共18节,CAD制图全能【出图1001个技巧】配套习题
动脑学院,594人最近报名,免费,共24节,Python开发/自动化/网络爬虫/运维/从入门到精通【动脑学院】
"艾巴优教育,认证",883人最近报名,免费,共7节,室内设计师-家装工装-方案优化/建材施工/工程预算/谈单沟通
腾讯课堂NEXT学院,03人购买,¥077.22,共18节,【NEXT学院】Java全栈开发商业小程序
"张工教育,认证",39人最近报名,免费,共2节,勘察设计注册工程师-公共基础公开课
"图灵学院,认证",68人最近报名,免费,共4节,Redis高并发分布式锁~Redisson框架实现分布式锁【图灵学院】
乐搏技术学院,582人购买,¥1462.22,开设4个班级,软件测试-Python自动化提升班【乐搏学院Web/APP/接口自动化】
"张工教育,认证",19人最近报名,免费,共9节,2019注册道路工程师执业资格考试备考专业考试公开课
"图灵学院,认证",300人最近报名,免费,共5节,Zookeeper集群原理【图灵学院】
弦韵未来,2人购买,¥76.22,课程5,林耀基小提琴教学法讲堂
"卓尔谟教育,认证",320人最近报名,免费,共9节,Rhino犀牛工业设计产品建模基础快速入门【卓尔谟教育】
"柠檬班,认证",70人最近报名,免费,共6节,【柠檬班】软件测试常用工具
"晴教育,认证",307人购买,¥122.22,进度：59/59节,2020国考行测冲刺课
爱咖邦智造学院,107人最近报名,免费,共15节,Solidworks非标机械设计公开课
尖锋数学,819人最近报名,免费,共6节,高考数学技巧公开课
逻辑教育,32人购买,¥6662.22,课程5,iOS 中高级训练营V7.0
顶昇教育,337人最近报名,免费,共9节,高考英语高中英语高分满分词汇语法完型阅读写作提分
凯途教育,509人最近报名,免费,共13节,零基础跟我学Creo/proe
学呀教育.,4人购买,¥9662.22,课程3,UG塑胶模具设计全科班
凯途教育,325人最近报名,免费,共41节,Solidworks 机械产品非标设计课程 凯途教育
云财网校,136人最近报名,免费,共4节,2020初级会计职称VIP协议班介绍
霍格沃兹测试学院,642人购买,¥4222.22,随到随学,Python 自动化测试开发系统进阶课程_霍格沃兹测试学院
"新盟教育,认证",37人最近报名,免费,共5节,Linux运维教程之SSHd服（上）
"张工教育,认证",69人最近报名,免费,共11节,一级注册建筑师公开课
启程学院,3132人购买,¥5577.22,随到随学,框剪商住综合体预算-土建工程造价案例实操【启程学院】
"涵品教育,认证",355人最近报名,免费,共1节,PS/PS教程/摄影后期/人像精修/影楼 海景 调色/电影色调合成
蜜蜂优课,878人购买,¥977.22,课程4,【坤哥物理】高二下期全套含3-3  电磁感应动量热学
"涵品教育,认证",591人最近报名,免费,共1节,PS/PS淘宝美工/ps基础/新手入门/产品精修/调色思路/精修方法
咕泡教育,551人最近报名,免费,进度：3/3节,Go语言Golang入门至高级/micro/channel/goroutine/PHP区块链咕泡
"图灵学院,认证",514人最近报名,免费,共7节,深入理解内存模型与多线程结果-jvm模型
拓薪教育,542人购买,¥8777.22,共67节,Java分布式互联网架构/微服务/高性能/springboot/springcloud
"逻辑教育,认证",14人最近报名,免费,共7节,HOOK原理解析
咕泡教育,90人最近报名,免费,共21节,软件测试Python/性能/接口/安全/自动化软件测试零到精通【咕泡】
深圳学立行教育科技有限公司,0人购买,¥9222.22,课程7,2Ｄ/3Ｄ/ＡＦ/ＤＦ包
杭州驭宝网络技术有限公司,167人最近报名,免费,进度：7/10节,【驭宝电商】高效打造单品爆款，专注淘内免费流量运营十年
言传声教,786人最近报名,免费,进度：6/9节,法语零基础入门进阶课堂
云艺帆教育,3976人购买,¥3962.22,进度：3/5节,CAD家具设计实战（室内板式定制家具衣柜橱柜酒柜-测量拆单报价）
方谊华,39人最近报名,免费,共1节,电气设计提高班
北京朴易教育科技有限公司,7人购买,¥5571.22,课程2,中考高考高分必备语法
方谊华,94人最近报名,免费,共1节,电气工程师-电工-二建培训班
大圣老师,71人最近报名,免费,共5节,【知守消防】【2020公开课】一级注册消防工程师免费0基础学习
"米你课堂,认证",18人最近报名,免费,共9节,7天挑战设计集训营
中艺影像,8670人购买,¥17.22,共6节,【摄影】人像摄影构图及应用/田德友/录播/中艺
"图灵学院,认证",41人最近报名,免费,共5节,区块链 - 比特币挖矿是怎么回事？
声思文化教育发展有限公司,079人购买,¥776.22,共47节,声思英语VIP课程
"图灵学院,认证",539人最近报名,免费,共6节,Alibaba双十一万亿级消息中间件RocketMQ实战
"涵品教育,认证",550人最近报名,免费,共1节,PS/PS淘宝美工/新手入门/抠图技巧/基础操作/思路讲解/抠图教程
"图灵学院,认证",552人最近报名,免费,共5节,双十一电商秒杀系统性能优化实战
"柠檬班,认证",550人购买,¥53622,开设3个班级,python高级软件测试开发第1-3期【柠檬班VIP】
