link,name,number,org,price
//ke.qq.com/course/379701,Python爬虫+人工智能实战班,590人购买,软谋教育,¥1077.22
//ke.qq.com/course/package/21080,Python爬虫+数据分析高薪班,7人购买,青灯教育,¥8977.22
//ke.qq.com/course/package/22289,Python爬虫高薪就业VIP班,1人购买,灵犀教育,¥5962.22
//ke.qq.com/course/408347,【NEXT公开课】1小时学会编写Python爬虫：抓取小说目录和正文,836人购买,腾讯课堂NEXT学院,¥2.23
//ke.qq.com/course/388952,Python爬虫入门与实战,539人购买,数锐科技,¥77.22
//ke.qq.com/course/package/21169,Python爬虫工程师高薪就业班,4人购买,青灯教育,¥8471.22
//ke.qq.com/course/405353,Python爬虫开发从入门到实战,888人购买,青灯教育,¥5777.22
//ke.qq.com/course/310163,1小时掌握Python爬虫基础,082人购买,数锐科技,¥87.72
//ke.qq.com/course/357055,Python爬虫实战--基于Python探索火车票的下单过程,07人购买,数锐科技,¥77.22
//ke.qq.com/course/259720,Python爬虫Scrapy框架项目实战-万和IT教育,4人购买,万和IT教育,¥77.72
//ke.qq.com/course/436607,Python爬虫实战VIP班【灵犀教育】,584人购买,灵犀教育,¥5366.22
//ke.qq.com/course/422248,Python爬虫实战体验课,506人购买,达亚学院,¥5.22
//ke.qq.com/course/414446,Python爬虫课程,46人购买,逻辑教育,¥5762.22
//ke.qq.com/course/481534,Python爬虫精选视频【灵犀教育】,40人购买,灵犀教育,¥76.22
//ke.qq.com/course/479328#term_id=101144703,Python爬虫项目入门VIP体验班【六星教育】,064人购买,六星云课堂,¥5.22
//ke.qq.com/course/484065#term_id=101144703,Python爬虫基础及数据分析,562人购买,郑臣亮,¥7.72
//ke.qq.com/course/439261#term_id=101144703,2018python基础+就业班人工智能开发Python爬虫项目视频教程,2人购买,云玛教育,¥9.22
//ke.qq.com/course/575768#term_id=101144703,Python爬虫开发及数据分析实战-课程资源包,4人购买,郑臣亮,¥57.62
//ke.qq.com/course/575572#term_id=100673409,全勤全额返学费！4天带你解决Python爬虫中各种反爬机制,16人购买,学神 IT 教育,¥07.22
//ke.qq.com/course/417685#term_id=100673409,Python爬虫基础入门到进阶实战,8人购买,日月光华,¥576.22
//ke.qq.com/course/376135#term_id=100673409,Python爬虫视频课程：中国女性胸部大小分析,3人购买,李宁,¥577.22
//ke.qq.com/course/406671#term_id=100673409,python爬虫项目特训,305人购买,逻辑教育,¥57.72
//ke.qq.com/course/412566#term_id=100673409,python爬虫与反爬特训营,352人购买,逻辑教育,¥87.72
//ke.qq.com/course/258312#term_id=100673409,Python爬虫零基础入门开发-万和IT教育,575人购买,万和IT教育,¥7.72
//ke.qq.com/course/339465,Python爬虫|13天搞定Python分布爬虫【尚学堂】,01人购买,尚学高科,¥82.22
//ke.qq.com/course/345733,Python爬虫应用案例视频课程,96人购买,汤小洋,¥87.22
//ke.qq.com/course/458097,6天学会Python爬虫及可视化开发,6人购买,知了堂,¥53.22
//ke.qq.com/course/432604,Python爬虫从入门到精通|全套课程,5人购买,万和IT教育,¥16.22
//ke.qq.com/course/421840,Python爬虫开发环境与Docker,2人购买,博学谷,¥77.22
//ke.qq.com/course/423281,Python爬虫实战,42人购买,达亚学院,¥5162.22
//ke.qq.com/course/446954,人工智能Python爬虫和数据分析教程,511人购买,黄埔课堂,¥576.22
//ke.qq.com/course/388429,Python爬虫商业实战,7人购买,舟炬线上课堂,¥53.72
//ke.qq.com/course/258331,Python爬虫网页数据抓取-万和IT教育,3人购买,万和IT教育,¥07.72
//ke.qq.com/course/290155,python爬虫零基础入门到精通（3）,0人购买,智锋互联,¥53.22
//ke.qq.com/course/482256,Python爬虫开发及数据分析电商实战,3人购买,郑臣亮,¥7.72
//ke.qq.com/course/369569,软件测试bug分析，教你精通python爬虫实战【Atstudy网校】,2人购买,博为峰网校在线教育,¥376.22
//ke.qq.com/course/1130574,Python爬虫系列体验课程,2人购买,北京市海淀区青鸟信息技术职业技能培训学校,¥577.22
//ke.qq.com/course/251222,python自动化+Py全栈+爬虫+Ai=python全能工程师-挑战年薪30万,5295人购买,马哥教育,¥4362.22
//ke.qq.com/course/466168,Python全栈开发/爬虫/人工智能/机器学习/数据分析【八期就业班】,88人购买,扣丁学堂,¥4362.22
