course_link,course_name,course_number,course_organization,course_price,course_task
//ke.qq.com/course/103823,祝凯绘画——光线概括系统教学课程（上）（绘画基础入门课程）,586人购买,祝凯,"￥8,376.22",共15节
//ke.qq.com/course/104615#term_id=100516313,PS淘宝美工免费班/PS教程+网店装修+主图海报+PS设计 平面设计 PS,8366人最近报名,,免费,共38节
//ke.qq.com/course/106415,（直播+视频）室内设计3DMAX建模-家装工装效果图制作CAD-PS-VRAY,317人最近报名,艾巴优教育,免费,共30节
//ke.qq.com/course/111616#term_id=100119854,【录播】自然拼读法Phonics-英语零基础口语发音入门课程初学必选,5090人购买,e学苑在线教育,￥377.22,共89节
//ke.qq.com/course/116530,公务员面试公开课（适用国考、事业单位）【诚真公考】,025人最近报名,诚真公考,免费,共5节
//ke.qq.com/course/117001#term_id=100337234,UI/UE设计 APP/网页/交互设计/动效设计 PS 高薪实战班,147人最近报名,,免费,共8节
//ke.qq.com/course/119736,和小白一起学设计,5862人购买,品格设计课堂,￥77.22,共25节
//ke.qq.com/course/122221,【直播】恋爱技巧/情感聊天技巧/婚姻情感挽回,5791人最近报名,,免费,共4节
//ke.qq.com/course/126432,摄影后期/人像精修/中国风后期调色/风光修图/工笔画/影楼后期,700人最近报名,光影学院,免费,共8节
//ke.qq.com/course/126843#term_id=100516313,【直播】0基础水彩 水彩古风 水彩插画 手绘淡彩 小清新【HESUN】,587人最近报名,合尚教育,免费,进度：1/1节
//ke.qq.com/course/127193,2020公务员国考省考行测申论提分课【诚真公考】,802人最近报名,诚真公考,免费,共2节
//ke.qq.com/course/127207,高级时装立体裁剪免费试学【艺服在线教学】,95人最近报名,艺服教育,免费,共5节
//ke.qq.com/course/127439,【北京峰源】混凝土结构设计实战免费公开课,596人最近报名,,免费,共47节
//ke.qq.com/course/131630,廓形立体裁剪【艺服在线教学】,31人最近报名,艺服教育,免费,共8节
//ke.qq.com/course/134875,【北京峰源】安装工程造价（水电暖消防 招投标预算结算 广联达）,144人最近报名,,免费,进度：16/16节
//ke.qq.com/course/141269,UG塑胶模具设计VIP精品体验课/汽车模/3D分模/2D排位/模具结构,385人最近报名,明辉教育,免费,共11节
//ke.qq.com/course/152110,色彩搭配 服装搭配 形象设计 . OS形象设计中心  时尚公开课,315人最近报名,欧艾教育,免费,共2节
//ke.qq.com/course/152855,零基础学化妆 .OS形象设计中心 时尚公开课,944人最近报名,欧艾教育,免费,共4节
//ke.qq.com/course/153616,PS/PS综合平面设计/PS/AI平面设计/版式/字体/LOGO/VI/海报/为课,937人最近报名,,免费,共12节
//ke.qq.com/course/155600#term_id=100516313,PS教程 免费 PhotoShop  美工教程 平面设计 淘宝装修 PS淘宝美工,3053人最近报名,,免费,共33节
//ke.qq.com/course/157433,PS AI平面设计/配色/版式/海报/画册/折页/包装/logo/字体设计/VI,5528人最近报名,,免费,共15节
//ke.qq.com/course/158475,【优梯教育】新手开店找货源 手淘首页低价引流 微淘钻展运营技巧,5942人最近报名,优梯教育,免费,进度：9/21节
//ke.qq.com/course/159394,零基础学搭配，做时尚达人！,536人最近报名,欧艾教育,免费,共1节
